,SalesOrderNumber,SalesOrderLineNumber,SalesReasonKey
0,SO43697,1,5
1,SO43697,1,9
2,SO43702,1,5
3,SO43702,1,9
4,SO43703,1,5
5,SO43703,1,9
6,SO43706,1,5
7,SO43706,1,9
8,SO43707,1,5
9,SO43707,1,9
10,SO43709,1,5
11,SO43709,1,9
12,SO43710,1,5
13,SO43710,1,9
14,SO43711,1,5
15,SO43711,1,9
16,SO43712,1,5
17,SO43712,1,9
18,SO43713,1,5
19,SO43713,1,9
20,SO43714,1,5
21,SO43714,1,9
22,SO43715,1,5
23,SO43715,1,9
24,SO43716,1,5
25,SO43716,1,9
26,SO43718,1,5
27,SO43718,1,9
28,SO43719,1,5
29,SO43719,1,9
30,SO43720,1,5
31,SO43720,1,9
32,SO43721,1,5
33,SO43721,1,9
34,SO43722,1,5
35,SO43722,1,9
36,SO43724,1,5
37,SO43724,1,9
38,SO43725,1,5
39,SO43725,1,9
40,SO43727,1,5
41,SO43727,1,9
42,SO43728,1,5
43,SO43728,1,9
44,SO43731,1,5
45,SO43731,1,9
46,SO43733,1,5
47,SO43733,1,9
48,SO43734,1,5
49,SO43734,1,9
50,SO43735,1,5
51,SO43735,1,9
52,SO43737,1,5
53,SO43737,1,9
54,SO43738,1,5
55,SO43738,1,9
56,SO43739,1,5
57,SO43739,1,9
58,SO43740,1,5
59,SO43740,1,9
60,SO43741,1,5
61,SO43741,1,9
62,SO43742,1,5
63,SO43742,1,9
64,SO43744,1,5
65,SO43744,1,9
66,SO43745,1,5
67,SO43745,1,9
68,SO43746,1,5
69,SO43746,1,9
70,SO43747,1,5
71,SO43747,1,9
72,SO43748,1,5
73,SO43748,1,9
74,SO43749,1,5
75,SO43749,1,9
76,SO43750,1,5
77,SO43750,1,9
78,SO43751,1,5
79,SO43751,1,9
80,SO43752,1,5
81,SO43752,1,9
82,SO43753,1,5
83,SO43753,1,9
84,SO43754,1,5
85,SO43754,1,9
86,SO43755,1,5
87,SO43755,1,9
88,SO43758,1,5
89,SO43758,1,9
90,SO43759,1,5
91,SO43759,1,9
92,SO43760,1,5
93,SO43760,1,9
94,SO43761,1,5
95,SO43761,1,9
96,SO43762,1,5
97,SO43762,1,9
98,SO43763,1,5
99,SO43763,1,9
100,SO43764,1,5
