,SalesQuotaKey,EmployeeKey,DateKey,CalendarYear,CalendarQuarter,SalesAmountQuota,Date
0,1,272,20101229,2010,4,28000.0,2010-12-29
1,2,281,20101229,2010,4,367000.0,2010-12-29
2,3,282,20101229,2010,4,637000.0,2010-12-29
3,4,283,20101229,2010,4,565000.0,2010-12-29
4,5,284,20101229,2010,4,244000.0,2010-12-29
5,6,285,20101229,2010,4,669000.0,2010-12-29
6,7,286,20101229,2010,4,165000.0,2010-12-29
7,8,287,20101229,2010,4,460000.0,2010-12-29
8,9,288,20101229,2010,4,525000.0,2010-12-29
9,10,289,20101229,2010,4,226000.0,2010-12-29
10,11,272,20110331,2011,1,7000.0,2011-03-31
11,12,281,20110331,2011,1,556000.0,2011-03-31
12,13,282,20110331,2011,1,781000.0,2011-03-31
13,14,283,20110331,2011,1,872000.0,2011-03-31
14,15,284,20110331,2011,1,356000.0,2011-03-31
15,16,285,20110331,2011,1,917000.0,2011-03-31
16,17,286,20110331,2011,1,469000.0,2011-03-31
17,18,287,20110331,2011,1,549000.0,2011-03-31
18,19,288,20110331,2011,1,767000.0,2011-03-31
19,20,289,20110331,2011,1,353000.0,2011-03-31
20,21,272,20110701,2011,3,91000.0,2011-07-01
21,22,281,20110701,2011,3,502000.0,2011-07-01
22,23,282,20110701,2011,3,665000.0,2011-07-01
23,24,283,20110701,2011,3,846000.0,2011-07-01
24,25,284,20110701,2011,3,266000.0,2011-07-01
25,26,285,20110701,2011,3,780000.0,2011-07-01
26,27,286,20110701,2011,3,264000.0,2011-07-01
27,28,287,20110701,2011,3,473000.0,2011-07-01
28,29,288,20110701,2011,3,583000.0,2011-07-01
29,30,289,20110701,2011,3,280000.0,2011-07-01
30,31,272,20110929,2011,3,140000.0,2011-09-29
31,32,281,20110929,2011,3,550000.0,2011-09-29
32,33,282,20110929,2011,3,639000.0,2011-09-29
33,34,283,20110929,2011,3,952000.0,2011-09-29
34,35,284,20110929,2011,3,341000.0,2011-09-29
35,36,285,20110929,2011,3,802000.0,2011-09-29
36,37,286,20110929,2011,3,301000.0,2011-09-29
37,38,287,20110929,2011,3,493000.0,2011-09-29
38,39,288,20110929,2011,3,583000.0,2011-09-29
39,40,289,20110929,2011,3,267000.0,2011-09-29
40,41,272,20111229,2011,4,70000.0,2011-12-29
41,42,281,20111229,2011,4,1429000.0,2011-12-29
42,43,282,20111229,2011,4,1355000.0,2011-12-29
43,44,283,20111229,2011,4,1600000.0,2011-12-29
44,45,284,20111229,2011,4,542000.0,2011-12-29
45,46,285,20111229,2011,4,734000.0,2011-12-29
46,47,286,20111229,2011,4,210000.0,2011-12-29
47,48,287,20111229,2011,4,1034000.0,2011-12-29
48,49,288,20111229,2011,4,496000.0,2011-12-29
49,50,289,20111229,2011,4,483000.0,2011-12-29
50,51,290,20111229,2011,4,93000.0,2011-12-29
51,52,291,20111229,2011,4,1898000.0,2011-12-29
