,SurveyResponseKey,DateKey,CustomerKey,ProductCategoryKey,EnglishProductCategoryName,ProductSubcategoryKey,EnglishProductSubcategoryName,Date
0,1,20120309,11001,3,Clothing,24,Tights,2012-03-09
1,2,20120309,11001,4,Accessories,30,Fenders,2012-03-09
2,3,20120309,11001,4,Accessories,32,Hydration Packs,2012-03-09
3,4,20120424,11017,3,Clothing,22,Shorts,2012-04-24
4,5,20120424,11017,4,Accessories,28,Bottles and Cages,2012-04-24
5,6,20120406,11019,4,Accessories,34,Locks,2012-04-06
6,7,20120414,11026,4,Accessories,28,Bottles and Cages,2012-04-14
7,8,20120310,11033,3,Clothing,21,Jerseys,2012-03-10
8,9,20120310,11033,3,Clothing,23,Socks,2012-03-10
9,10,20120310,11033,3,Clothing,24,Tights,2012-03-10
10,11,20120303,11037,4,Accessories,31,Helmets,2012-03-03
11,12,20120303,11037,4,Accessories,32,Hydration Packs,2012-03-03
12,13,20120311,11047,3,Clothing,22,Shorts,2012-03-11
13,14,20120311,11047,3,Clothing,23,Socks,2012-03-11
14,15,20120311,11047,4,Accessories,30,Fenders,2012-03-11
15,16,20120426,11048,4,Accessories,32,Hydration Packs,2012-04-26
16,17,20120426,11048,4,Accessories,36,Pumps,2012-04-26
17,18,20120312,11054,3,Clothing,18,Bib-Shorts,2012-03-12
18,19,20120408,11057,4,Accessories,36,Pumps,2012-04-08
19,20,20120417,11070,4,Accessories,29,Cleaners,2012-04-17
20,21,20120417,11070,4,Accessories,31,Helmets,2012-04-17
21,22,20120405,11078,4,Accessories,31,Helmets,2012-04-05
22,23,20120314,11079,3,Clothing,21,Jerseys,2012-03-14
23,24,20120314,11079,4,Accessories,27,Bike Stands,2012-03-14
24,25,20120314,11079,4,Accessories,37,Tires and Tubes,2012-03-14
25,26,20120326,11109,3,Clothing,25,Vests,2012-03-26
26,27,20120309,11110,3,Clothing,21,Jerseys,2012-03-09
27,28,20120324,11111,3,Clothing,20,Gloves,2012-03-24
